mechanism,rate,incidents,aurc,full_coverage_risk,risk_at_50pct_coverage,actual_coverage_at_50pct,risk_at_80pct_coverage,actual_coverage_at_80pct
burst,0.1,375,0.08083793179914023,0.1752,0.0601063829787234,0.5013333333333333,0.1206666666666667,0.8
burst,0.3,375,0.10155182533788065,0.21919999999999998,0.10957446808510633,0.5013333333333333,0.16133333333333327,0.8
burst,0.5,375,0.4246057478107599,0.5021333333333333,0.4632978723404255,0.5013333333333333,0.4853333333333334,0.8
incident,0.1,375,0.09287230026664733,0.1586666666666667,0.09202127659574466,0.5013333333333333,0.13333333333333333,0.8
incident,0.3,375,0.13829975607678535,0.2674666666666667,0.14468085106382977,0.5013333333333333,0.221,0.8
incident,0.5,375,0.22994453282709482,0.3530666666666667,0.21329787234042555,0.5013333333333333,0.3263333333333334,0.8
none,0.0,375,0.07968571221369368,0.16533333333333333,0.05851063829787234,0.5013333333333333,0.10666666666666667,0.8
point,0.1,375,0.07995982606095917,0.1648,0.06382978723404255,0.5013333333333333,0.10099999999999999,0.8
point,0.3,375,0.07809470369945591,0.1613333333333333,0.06914893617021277,0.5013333333333333,0.101,0.8
point,0.5,375,0.08105248520831082,0.15493333333333334,0.07925531914893617,0.5013333333333333,0.09633333333333333,0.8
stream,0.1,375,0.08952916302969523,0.17546666666666666,0.07340425531914892,0.5013333333333333,0.12366666666666667,0.8
stream,0.3,375,0.11820433126728333,0.21680000000000013,0.12393617021276596,0.5013333333333333,0.17066666666666674,0.8
stream,0.5,375,0.19900648751860037,0.2653333333333333,0.21755319148936184,0.5013333333333333,0.2450000000000001,0.8
