method,mechanism,rate,incidents,incidents_with_evidence,evidence_mask_fraction,mrr_unconditional,mrr_conditional,hit1_unconditional,hit1_conditional,normalized_rank_unconditional,normalized_rank_conditional,worst_rank_fraction
median_shift,incident,0.3,375,375,1.0,0.2219866955401128,0.2219866955401128,0.09466666666666666,0.09466666666666666,0.3566442072104058,0.3566442072104058,0.0007999999999999999
median_shift,incident,0.5,375,375,1.0,0.18564143968859556,0.18564143968859556,0.06586666666666667,0.06586666666666667,0.3949511462173902,0.3949511462173902,0.003466666666666667
median_shift,none,0.0,375,375,1.0,0.5018376041874897,0.5018376041874897,0.30666666666666664,0.30666666666666664,0.08747518791339977,0.08747518791339977,0.0
median_shift,point,0.1,375,375,1.0,0.4995905911934361,0.4995905911934361,0.3021333333333333,0.3021333333333333,0.0874364007768784,0.0874364007768784,0.0
median_shift,point,0.3,375,375,1.0,0.49917216401185655,0.49917216401185655,0.30186666666666667,0.30186666666666667,0.08775622906589224,0.08775622906589224,0.0
median_shift,point,0.5,375,375,1.0,0.5003729942608225,0.5003729942608225,0.3024,0.3024,0.08745921563229583,0.08745921563229583,0.0
median_shift,stream,0.1,375,375,1.0,0.5101456961856564,0.5101456961856564,0.31573333333333337,0.31573333333333337,0.08474291404179951,0.08474291404179951,0.0
median_shift,stream,0.3,375,375,0.9989333333333333,0.5151992065736928,0.5158301340823981,0.3208,0.32127407407407405,0.08842501998511794,0.08748181010857474,0.0018666666666666669
median_shift,stream,0.5,375,375,0.9893333333333333,0.5186208265136699,0.5260093593183138,0.33466666666666667,0.341674074074074,0.1043127107213516,0.09478714790363191,0.012
nsigma,burst,0.1,375,375,1.0,0.7589756862231108,0.7589756862231108,0.6136,0.6136,0.031666473429951686,0.031666473429951686,0.0
nsigma,burst,0.3,375,375,1.0,0.7541192643508106,0.7541192643508106,0.6082666666666666,0.6082666666666666,0.03259083139083138,0.03259083139083138,0.0
nsigma,burst,0.5,375,375,1.0,0.668718701661592,0.668718701661592,0.4925333333333333,0.4925333333333333,0.05049944510796208,0.05049944510796208,0.0
