method,original_mrr,robustness_auc,delta_auc_vs_qarca,mrr_at_max_loss
qarca,0.8903600644122383,0.8567067963743078,0.0,0.7872751888572083
qarca_original_train,0.8621538114059853,0.6646209180295369,-0.19208587834477087,0.5398112461017207
qarca_no_quality,0.8968890983412722,0.7816741442176389,-0.07503265215666888,0.6912865398143425
qarca_no_quality_original,0.869435821987996,0.7491381804949135,-0.10756861587939426,0.6264895491007801
qarca_structural_only,0.2296610155639241,0.2296610155639241,-0.6270457808103838,0.2296610155639241
qarca_quality_only,0.27121572234918606,0.3894233986446421,-0.4672833977296657,0.4043542100312283
qarca_no_incident_train,0.8915800074321812,0.788350681065313,-0.06835611530899477,0.6909726095652765
