mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
burst,0.1,baro,375,0.5281022835400542,0.3664835818883958,0.57392,0.3714666666666667,0.5866666666666667,0.7365333333333333,0.08710151084813667,392.0506140264993,0.10000379996955043,0.01892513079082932
burst,0.1,median_shift,375,0.4985699222043071,0.3494054696834553,0.58016,0.30186666666666667,0.6338666666666667,0.7408,0.08799249423606902,107.93842890692564,0.10000379996955043,0.018043220868770707
burst,0.1,nsigma,375,0.7589756862231108,0.3086254347964236,0.8406933333333333,0.6136,0.8874666666666667,0.9661333333333334,0.031666473429951686,322.32105149355095,0.10000379996955043,0.01593734892243429
burst,0.1,qarca,375,0.8862423628545367,0.23601111517240664,0.9200533333333333,0.8248,0.9373333333333334,0.9749333333333334,0.025632690072076258,1802.8992601333496,0.10000379996955043,0.012187561581100953
burst,0.1,qarca_no_incident_train,375,0.8860855527365502,0.2466571805700196,0.9195733333333332,0.8256000000000001,0.9351999999999999,0.9789333333333334,0.025770187811620035,1802.4804157331896,0.10000379996955043,0.012737322034268821
burst,0.1,qarca_no_quality,375,0.8931186317925703,0.24592956477667688,0.9202666666666667,0.8408,0.9333333333333333,0.9674666666666667,0.026336020047017485,1802.3254021867644,0.10000379996955043,0.012699748116268103
burst,0.1,qarca_no_quality_original,375,0.8707984066582276,0.2664588859376763,0.9055466666666666,0.8058666666666666,0.9178666666666666,0.9728,0.027356449404531243,1802.3068820792562,0.10000379996955043,0.013759877702474693
burst,0.1,qarca_original_train,375,0.8232163050561261,0.2615530689059942,0.8706133333333334,0.7325333333333333,0.8949333333333334,0.9525333333333333,0.04291659176856107,1802.5708428003825,0.10000379996955043,0.013506542400298088
burst,0.1,qarca_quality_only,375,0.3154408503379431,0.22505092690658407,0.33008,0.14053333333333334,0.32613333333333333,0.5186666666666667,0.22497599573215146,1802.01655813364,0.10000379996955043,0.011621579892769903
burst,0.1,qarca_structural_only,375,0.2296610155639241,0.25747190120178276,0.23626666666666665,0.08,0.2613333333333333,0.4053333333333333,0.35204059334475385,1801.844386933713,0.10000379996955043,0.013295791806278214
burst,0.3,baro,375,0.4419692552407834,0.30270279703927616,0.47637333333333337,0.28853333333333336,0.5015999999999999,0.6117333333333334,0.16176781104162538,388.27937573329547,0.3000106456408146,0.015631505223780272
burst,0.3,median_shift,375,0.45106432712699074,0.32205982151653245,0.5349866666666667,0.2488,0.5912,0.7085333333333333,0.10996265309929514,107.2412924269059,0.3000106456408146,0.016631097669547512
burst,0.3,nsigma,375,0.7541192643508106,0.2894796078516437,0.8344533333333334,0.6082666666666666,0.8810666666666666,0.9562666666666667,0.03259083139083138,320.96593997352755,0.3000106456408146,0.0149486626703476
