system,case_id,method,mechanism,auc
OB,OB/adservice_cpu/4,qarca_no_incident_train,point,1.0
OB,OB/adservice_cpu/4,qarca_no_quality,point,1.0
OB,OB/adservice_cpu/4,qarca_no_quality_original,point,1.0
OB,OB/adservice_cpu/4,qarca_original_train,point,1.0
OB,OB/adservice_cpu/4,qarca_quality_only,point,0.16418650793650794
OB,OB/adservice_cpu/4,qarca_structural_only,point,0.1
OB,OB/adservice_cpu/5,baro,point,1.0
OB,OB/adservice_cpu/5,median_shift,point,0.5
OB,OB/adservice_cpu/5,nsigma,point,1.0
OB,OB/adservice_cpu/5,qarca,point,1.0
OB,OB/adservice_cpu/5,qarca_no_incident_train,point,1.0
OB,OB/adservice_cpu/5,qarca_no_quality,point,1.0
OB,OB/adservice_cpu/5,qarca_no_quality_original,point,1.0
OB,OB/adservice_cpu/5,qarca_original_train,point,1.0
OB,OB/adservice_cpu/5,qarca_quality_only,point,0.23901190476190476
OB,OB/adservice_cpu/5,qarca_structural_only,point,0.1
OB,OB/adservice_delay/1,baro,point,1.0
OB,OB/adservice_delay/1,median_shift,point,1.0
OB,OB/adservice_delay/1,nsigma,point,1.0
OB,OB/adservice_delay/1,qarca,point,1.0
OB,OB/adservice_delay/1,qarca_no_incident_train,point,1.0
OB,OB/adservice_delay/1,qarca_no_quality,point,1.0
OB,OB/adservice_delay/1,qarca_no_quality_original,point,1.0
OB,OB/adservice_delay/1,qarca_original_train,point,1.0
OB,OB/adservice_delay/1,qarca_quality_only,point,0.20073809523809522
OB,OB/adservice_delay/1,qarca_structural_only,point,0.1
OB,OB/adservice_delay/2,baro,point,1.0
OB,OB/adservice_delay/2,median_shift,point,1.0
OB,OB/adservice_delay/2,nsigma,point,1.0
OB,OB/adservice_delay/2,qarca,point,1.0
OB,OB/adservice_delay/2,qarca_no_incident_train,point,1.0
OB,OB/adservice_delay/2,qarca_no_quality,point,1.0
OB,OB/adservice_delay/2,qarca_no_quality_original,point,1.0
OB,OB/adservice_delay/2,qarca_original_train,point,1.0
OB,OB/adservice_delay/2,qarca_quality_only,point,0.1963333333333333
OB,OB/adservice_delay/2,qarca_structural_only,point,0.1
OB,OB/adservice_delay/3,baro,point,1.0
OB,OB/adservice_delay/3,median_shift,point,1.0
OB,OB/adservice_delay/3,nsigma,point,1.0
