method,mechanism,rate,incidents,normalized_rank_mean,normalized_rank_p90,miss_at_1,miss_at_3,miss_at_5,worst_rank_fraction,root_unscorable_fraction
baro,burst,0.1,375,0.08710151084813667,0.21363636363636357,0.6285333333333333,0.41333333333333333,0.2634666666666667,0.0,0.0
baro,burst,0.3,375,0.16176781104162538,0.32727272727272727,0.7114666666666667,0.4984,0.38826666666666665,0.0002666666666666667,0.0
baro,burst,0.5,375,0.20431949609060374,0.41363636363636364,0.7866666666666666,0.5688000000000001,0.4170666666666667,0.0005333333333333334,0.0
baro,incident,0.1,375,0.1398878520839574,0.34202898550724636,0.6890666666666666,0.4810666666666667,0.3368,0.0,0.0
baro,incident,0.3,375,0.44807836914675286,0.7474647887323945,0.9237333333333333,0.8346666666666667,0.7378666666666667,0.009866666666666668,0.0
baro,incident,0.5,375,0.4981055109482731,0.775,0.9626666666666667,0.8850666666666666,0.796,0.0224,0.0
baro,none,0.0,375,0.08402831923468786,0.2272727272727272,0.6346666666666667,0.408,0.256,0.0,0.0
baro,point,0.1,375,0.08450767823453675,0.2272727272727272,0.6335999999999999,0.41173333333333334,0.25706666666666667,0.0,0.0
baro,point,0.3,375,0.08480780426078648,0.2185770750988142,0.6317333333333334,0.4146666666666667,0.25706666666666667,0.0,0.0
baro,point,0.5,375,0.08520272086626035,0.2254545454545455,0.6328,0.41573333333333334,0.2608,0.0,0.0
baro,stream,0.1,375,0.08443812012169634,0.2,0.644,0.40426666666666666,0.23946666666666666,0.0002666666666666667,0.0
baro,stream,0.3,375,0.09317695888108624,0.19818181818181824,0.6648000000000001,0.41040000000000004,0.23786666666666667,0.0010666666666666667,0.0010666666666666667
baro,stream,0.5,375,0.11188088954091906,0.225,0.6906666666666667,0.4186666666666667,0.2624,0.011733333333333333,0.010666666666666666
median_shift,burst,0.1,375,0.08799249423606902,0.21339920948616597,0.6981333333333334,0.36613333333333337,0.2592,0.0,0.0
median_shift,burst,0.3,375,0.10996265309929514,0.25486166007905137,0.7512,0.40880000000000005,0.29146666666666665,0.0,0.0
median_shift,burst,0.5,375,0.2185833749245283,0.42028985507246375,0.9168000000000001,0.6328,0.43226666666666663,0.0,0.0
median_shift,incident,0.1,375,0.13806911889498538,0.4000000000000002,0.6712,0.4314666666666667,0.3234666666666667,0.0,0.0
median_shift,incident,0.3,375,0.3566442072104058,0.6521739130434783,0.9053333333333333,0.7842666666666668,0.6914666666666667,0.0007999999999999999,0.0
median_shift,incident,0.5,375,0.3949511462173902,0.6666666666666666,0.9341333333333334,0.8410666666666666,0.7493333333333333,0.003466666666666667,0.0
median_shift,none,0.0,375,0.08747518791339977,0.217391304347826,0.6933333333333334,0.35733333333333334,0.25866666666666666,0.0,0.0
median_shift,point,0.1,375,0.0874364007768784,0.22347826086956527,0.6978666666666666,0.35733333333333334,0.26053333333333334,0.0,0.0
median_shift,point,0.3,375,0.08775622906589224,0.2178656126482213,0.6981333333333334,0.3578666666666666,0.26213333333333333,0.0,0.0
median_shift,point,0.5,375,0.08745921563229583,0.21710144927536235,0.6976000000000001,0.3586666666666667,0.26053333333333334,0.0,0.0
median_shift,stream,0.1,375,0.08474291404179951,0.20376811594202898,0.6842666666666667,0.3544,0.252,0.0,0.0
median_shift,stream,0.3,375,0.08842501998511794,0.20673913043478265,0.6791999999999999,0.3565333333333333,0.25173333333333336,0.0018666666666666669,0.0010666666666666667
median_shift,stream,0.5,375,0.1043127107213516,0.225,0.6653333333333333,0.37093333333333334,0.2592,0.012,0.010666666666666666
nsigma,burst,0.1,375,0.031666473429951686,0.09166666666666663,0.3864,0.11253333333333335,0.03386666666666666,0.0,0.0
nsigma,burst,0.3,375,0.03259083139083138,0.08433333333333336,0.3917333333333333,0.11893333333333334,0.04373333333333333,0.0,0.0
nsigma,burst,0.5,375,0.05049944510796208,0.12499999999999997,0.5074666666666667,0.18613333333333332,0.08879999999999999,0.0,0.0
nsigma,incident,0.1,375,0.10576017863880692,0.36422535211267615,0.5024000000000001,0.29146666666666665,0.2149333333333333,0.0010666666666666667,0.0
nsigma,incident,0.3,375,0.45435844366976674,0.7837681159420293,0.916,0.8189333333333334,0.7328,0.008,0.0
nsigma,incident,0.5,375,0.5163235567277641,0.8330000000000001,0.9530666666666666,0.8690666666666667,0.7850666666666666,0.013066666666666667,0.0
nsigma,none,0.0,375,0.03169363197189283,0.08932806324110679,0.384,0.11466666666666667,0.037333333333333336,0.0,0.0
nsigma,point,0.1,375,0.03181069828722002,0.0909090909090909,0.3834666666666667,0.1144,0.035199999999999995,0.0,0.0
nsigma,point,0.3,375,0.03157514273166446,0.0909090909090909,0.38186666666666663,0.1136,0.03306666666666667,0.0,0.0
nsigma,point,0.5,375,0.0313386736934563,0.0909090909090909,0.3832,0.11253333333333335,0.030933333333333334,0.0,0.0
nsigma,stream,0.1,375,0.03378510490258193,0.09,0.38986666666666664,0.11573333333333333,0.037866666666666667,0.0,0.0
nsigma,stream,0.3,375,0.04683734300400558,0.11757575757575757,0.4165333333333333,0.14426666666666668,0.0568,0.0010666666666666667,0.0010666666666666667
nsigma,stream,0.5,375,0.07281353659584414,0.19818181818181826,0.4541333333333334,0.1930666666666667,0.10373333333333333,0.012,0.010666666666666666
qarca,burst,0.1,375,0.025632690072076258,0.04600790513833991,0.1752,0.06266666666666666,0.025066666666666668,0.010666666666666666,0.0
qarca,burst,0.3,375,0.035418742928001234,0.0883333333333335,0.2192,0.08426666666666667,0.044533333333333334,0.010133333333333333,0.0
qarca,burst,0.5,375,0.06618114501886412,0.14166666666666666,0.5021333333333333,0.19866666666666666,0.1072,0.011733333333333333,0.0
qarca,incident,0.1,375,0.014780042185480026,0.03491304347826087,0.15866666666666668,0.064,0.023466666666666667,0.0,0.0
qarca,incident,0.3,375,0.02621735592297747,0.0833333333333333,0.2674666666666667,0.10586666666666668,0.04133333333333333,0.0,0.0
qarca,incident,0.5,375,0.038542113851311635,0.1345454545454546,0.3530666666666667,0.15360000000000001,0.076,0.0,0.0
qarca,none,0.0,375,0.02493017127799736,0.044664031620553366,0.16533333333333333,0.06933333333333333,0.021333333333333333,0.010666666666666666,0.0
qarca,point,0.1,375,0.024729292929292924,0.04861660079051392,0.1648,0.0672,0.021599999999999998,0.0104,0.0
qarca,point,0.3,375,0.02427448397013614,0.04318840579710153,0.16133333333333333,0.064,0.020533333333333334,0.010133333333333333,0.0
qarca,point,0.5,375,0.023398506807202457,0.037154150197628466,0.15493333333333334,0.061066666666666665,0.022133333333333335,0.009333333333333334,0.0
qarca,stream,0.1,375,0.025503205972771188,0.04362318840579717,0.17546666666666666,0.0648,0.024800000000000003,0.010133333333333333,0.0
qarca,stream,0.3,375,0.03195390590462093,0.08376811594202897,0.2168,0.07813333333333333,0.035199999999999995,0.008799999999999999,0.0010666666666666667
qarca,stream,0.5,375,0.04928412097634243,0.15833333333333333,0.2653333333333333,0.116,0.05893333333333334,0.0088,0.010666666666666666
qarca_no_incident_train,burst,0.1,375,0.025770187811620035,0.04687747035573126,0.17440000000000003,0.0648,0.021066666666666668,0.010666666666666666,0.0
qarca_no_incident_train,burst,0.3,375,0.026579797979797974,0.05130434782608699,0.192,0.0672,0.02666666666666667,0.010133333333333333,0.0
qarca_no_incident_train,burst,0.5,375,0.05379582588610792,0.12231884057971022,0.4650666666666667,0.176,0.10186666666666667,0.011733333333333333,0.0
qarca_no_incident_train,incident,0.1,375,0.04531388990950533,0.1527272727272728,0.3429333333333333,0.19546666666666665,0.12373333333333333,0.0,0.0
qarca_no_incident_train,incident,0.3,375,0.14534644802943494,0.33594202898550735,0.752,0.5269333333333334,0.3650666666666667,0.0,0.0
qarca_no_incident_train,incident,0.5,375,0.1729422636603977,0.375,0.8301333333333334,0.6018666666666667,0.41359999999999997,0.0,0.0
qarca_no_incident_train,none,0.0,375,0.025389547650417215,0.0454545454545454,0.16266666666666665,0.06666666666666667,0.021333333333333333,0.010666666666666666,0.0
qarca_no_incident_train,point,0.1,375,0.024889328063241106,0.0454545454545454,0.16426666666666667,0.06613333333333334,0.020533333333333334,0.0104,0.0
qarca_no_incident_train,point,0.3,375,0.024640667545015368,0.04434782608695654,0.16453333333333334,0.06426666666666667,0.019733333333333335,0.010133333333333333,0.0
qarca_no_incident_train,point,0.5,375,0.023814229249011856,0.03889328063241113,0.16453333333333334,0.0608,0.021066666666666668,0.009333333333333334,0.0
qarca_no_incident_train,stream,0.1,375,0.02590408432147562,0.04724637681159422,0.17653333333333335,0.06613333333333334,0.0232,0.010133333333333333,0.0
qarca_no_incident_train,stream,0.3,375,0.03279350739483011,0.0867193675889328,0.21226666666666666,0.07813333333333333,0.03493333333333333,0.008,0.0010666666666666667
qarca_no_incident_train,stream,0.5,375,0.050809496348381826,0.15833333333333333,0.2624,0.11120000000000001,0.06346666666666667,0.005066666666666666,0.010666666666666666
qarca_no_quality,burst,0.1,375,0.026336020047017485,0.04927536231884057,0.1592,0.06666666666666667,0.03253333333333333,0.010666666666666666,0.0
qarca_no_quality,burst,0.3,375,0.026388581466842333,0.04188405797101449,0.168,0.06586666666666667,0.032266666666666666,0.010133333333333333,0.0
qarca_no_quality,burst,0.5,375,0.048305256188364135,0.11797101449275371,0.42213333333333336,0.15066666666666667,0.0816,0.011733333333333333,0.0
qarca_no_quality,incident,0.1,375,0.06303623299745773,0.22260869565217392,0.4066666666666667,0.27413333333333334,0.18746666666666667,0.0,0.0
qarca_no_quality,incident,0.3,375,0.15837899255122118,0.3321739130434783,0.8130666666666666,0.5821333333333334,0.3904,0.0,0.0
qarca_no_quality,incident,0.5,375,0.18467684941117019,0.36550724637681165,0.8688,0.6274666666666667,0.43866666666666665,0.0,0.0
qarca_no_quality,none,0.0,375,0.02611857707509881,0.052964426877470605,0.15466666666666667,0.064,0.029333333333333333,0.010666666666666666,0.0
qarca_no_quality,point,0.1,375,0.025610540184453225,0.049486166007905265,0.15226666666666666,0.06293333333333334,0.028266666666666666,0.0104,0.0
qarca_no_quality,point,0.3,375,0.02538533157663592,0.05478260869565233,0.15093333333333334,0.0608,0.030133333333333335,0.010133333333333333,0.0
qarca_no_quality,point,0.5,375,0.024607905138339915,0.04782608695652173,0.14746666666666666,0.06346666666666667,0.030666666666666665,0.009333333333333334,0.0
qarca_no_quality,stream,0.1,375,0.028712758942765062,0.05833333333333333,0.1704,0.06853333333333333,0.03626666666666666,0.010133333333333333,0.0
qarca_no_quality,stream,0.3,375,0.03774491210873185,0.10833333333333331,0.21253333333333335,0.088,0.0472,0.008,0.0010666666666666667
qarca_no_quality,stream,0.5,375,0.05543100678340187,0.175,0.264,0.12560000000000002,0.08533333333333333,0.0048000000000000004,0.010666666666666666
qarca_no_quality_original,burst,0.1,375,0.027356449404531243,0.052173913043478334,0.19413333333333332,0.08213333333333334,0.0272,0.010666666666666666,0.0
qarca_no_quality_original,burst,0.3,375,0.027958331137461566,0.06015810276679843,0.21066666666666667,0.08266666666666667,0.03573333333333333,0.010133333333333333,0.0
qarca_no_quality_original,burst,0.5,375,0.06788139047373223,0.13420289855072465,0.5976,0.26453333333333334,0.14213333333333333,0.011733333333333333,0.0
