system,fault,mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
OB,cpu,burst,0.1,baro,25,0.9063333333333334,0.16623694602049877,0.9592,0.82,0.996,1.0,0.016999999999999994,60.662320798262954,0.1,0.03324738920409975
OB,cpu,burst,0.1,median_shift,25,0.7986666666666666,0.2372157167986478,0.912,0.616,1.0,1.0,0.0364705882352941,10.987851599929854,0.1,0.04744314335972956
OB,cpu,burst,0.1,nsigma,25,0.8946666666666667,0.203654118544163,0.9504,0.8079999999999999,1.0,1.0,0.020666666666666656,49.747640801128,0.1,0.040730823708832596
OB,cpu,burst,0.1,qarca,25,0.9333333333333332,0.15115297622680882,0.9728,0.868,1.0,1.0,0.01113725490196078,46.89908160176128,0.1,0.030230595245361765
OB,cpu,burst,0.1,qarca_no_incident_train,25,0.9359999999999999,0.14966629547095767,0.9743999999999999,0.872,1.0,1.0,0.010568627450980387,46.64910720149055,0.1,0.029933259094191533
OB,cpu,burst,0.1,qarca_no_quality,25,0.9520000000000001,0.13499999999999998,0.9808,0.904,1.0,1.0,0.007901960784313723,46.48850440024398,0.1,0.026999999999999996
OB,cpu,burst,0.1,qarca_no_quality_original,25,0.9520000000000001,0.1388044187577134,0.9808,0.904,1.0,1.0,0.007803921568627447,46.47680639917962,0.1,0.027760883751542682
OB,cpu,burst,0.1,qarca_original_train,25,0.7966683982683983,0.15860206389995607,0.8759999999999999,0.66,0.9159999999999999,0.988,0.05249019607843136,46.69947400293313,0.1,0.031720412779991214
OB,cpu,burst,0.1,qarca_quality_only,25,0.23510476190476187,0.04436383835142294,0.2304,0.032,0.248,0.408,0.4068627450980392,46.36875000107102,0.1,0.008872767670284588
OB,cpu,burst,0.1,qarca_structural_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.7411764705882353,46.14025160088204,0.1,0.0
OB,cpu,burst,0.3,baro,25,0.8008,0.12568711151108536,0.8968,0.648,0.968,0.996,0.042901960784313714,62.373333600116894,0.3,0.02513742230221707
OB,cpu,burst,0.3,median_shift,25,0.7628,0.22562655560149072,0.8887999999999999,0.56,0.98,1.0,0.04603921568627449,11.526284400839359,0.3,0.04512531112029815
OB,cpu,burst,0.3,nsigma,25,0.9083333333333333,0.16428858980690272,0.96,0.8240000000000001,0.996,1.0,0.01666666666666666,51.333749601617455,0.3,0.032857717961380546
OB,cpu,burst,0.3,qarca,25,0.8321809523809524,0.16665687938949836,0.8856,0.732,0.912,0.9640000000000001,0.05123529411764705,47.40186199895106,0.3,0.03333137587789967
OB,cpu,burst,0.3,qarca_no_incident_train,25,0.897,0.15356263048502877,0.9560000000000001,0.8,0.996,1.0,0.018333333333333326,47.12124759866856,0.3,0.030712526097005755
OB,cpu,burst,0.3,qarca_no_quality,25,0.94,0.12583057392117913,0.976,0.88,1.0,1.0,0.009999999999999997,47.0013056024909,0.3,0.025166114784235825
OB,cpu,burst,0.3,qarca_no_quality_original,25,0.9359999999999999,0.1342572158209755,0.9743999999999999,0.872,1.0,1.0,0.010666666666666663,46.954065199242905,0.3,0.026851443164195098
OB,cpu,burst,0.3,qarca_original_train,25,0.7308492063492064,0.1491932328116971,0.804,0.584,0.836,0.924,0.08709803921568626,47.21264559915289,0.3,0.02983864656233942
OB,cpu,burst,0.3,qarca_quality_only,25,0.25625265845265843,0.08247891774967239,0.252,0.064,0.24400000000000002,0.436,0.416078431372549,46.71919999970123,0.3,0.01649578354993448
OB,cpu,burst,0.3,qarca_structural_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.7411764705882353,46.61941200005822,0.3,0.0
OB,cpu,burst,0.5,baro,25,0.6577269841269842,0.14174814228152,0.7816,0.456,0.86,0.972,0.09523529411764704,59.80773080000654,0.5,0.028349628456304
OB,cpu,burst,0.5,median_shift,25,0.4693095238095238,0.114603415061525,0.6536,0.172,0.764,0.96,0.1442941176470588,11.276664799777791,0.5,0.022920683012304998
OB,cpu,burst,0.5,nsigma,25,0.7709333333333334,0.19023017247145235,0.8672,0.612,0.92,0.996,0.054352941176470576,49.80687560257502,0.5,0.03804603449429047
OB,cpu,burst,0.5,qarca,25,0.6411968253968254,0.14483328857476746,0.7368000000000001,0.44799999999999995,0.792,0.9,0.11827450980392155,47.292611999670044,0.5,0.028966657714953492
OB,cpu,burst,0.5,qarca_no_incident_train,25,0.7578666666666666,0.15966002653787223,0.8648,0.58,0.9359999999999999,0.996,0.05554901960784313,47.07474759873003,0.5,0.031932005307574444
OB,cpu,burst,0.5,qarca_no_quality,25,0.7945714285714286,0.16330730043821454,0.8936,0.632,0.9640000000000001,0.988,0.04427450980392155,46.90541320270859,0.5,0.03266146008764291
OB,cpu,burst,0.5,qarca_no_quality_original,25,0.7609428571428571,0.15846003523425048,0.8768,0.5720000000000001,0.9640000000000001,0.988,0.05150980392156861,46.896840799599886,0.5,0.031692007046850094
OB,cpu,burst,0.5,qarca_original_train,25,0.5782476190476191,0.12392726830200926,0.7264,0.32,0.8,0.9520000000000001,0.11541176470588234,47.13799079810269,0.5,0.02478545366040185
OB,cpu,burst,0.5,qarca_quality_only,25,0.27046968586968584,0.06487480760580953,0.2608,0.1,0.23600000000000002,0.456,0.43390196078431376,46.66602039919235,0.5,0.012974961521161907
OB,cpu,burst,0.5,qarca_structural_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.7411764705882353,46.569777198834345,0.5,0.0
OB,cpu,incident,0.1,baro,25,0.6188976911976912,0.34491221381945847,0.6568,0.47200000000000003,0.6559999999999999,0.804,0.17066666666666666,59.793267199769616,0.1,0.06898244276389169
OB,cpu,incident,0.1,median_shift,25,0.6414492063492063,0.3749744382052464,0.684,0.5,0.688,0.8440000000000001,0.15166666666666667,11.466235200874507,0.1,0.07499488764104928
OB,cpu,incident,0.1,nsigma,25,0.5250043623043623,0.3952096941070947,0.52,0.41200000000000003,0.54,0.616,0.298,49.3148815985769,0.1,0.07904193882141894
OB,cpu,incident,0.1,qarca,25,1.0,0.0,1.0,1.0,1.0,1.0,0.0,45.88401919719763,0.1,0.0
OB,cpu,incident,0.1,qarca_no_incident_train,25,0.7406380952380952,0.3538012184849511,0.7792,0.632,0.8320000000000001,0.852,0.11333333333333333,45.66778959822841,0.1,0.07076024369699022
OB,cpu,incident,0.1,qarca_no_quality,25,0.7543428571428571,0.33451153934453226,0.7968000000000001,0.648,0.8320000000000001,0.9,0.09299999999999999,45.49079359625466,0.1,0.06690230786890645
OB,cpu,incident,0.1,qarca_no_quality_original,25,0.7182269841269842,0.3767491440302218,0.7472,0.624,0.7879999999999999,0.836,0.13866666666666666,45.44904719898477,0.1,0.07534982880604436
OB,cpu,incident,0.1,qarca_original_train,25,0.16514744144744142,0.1526281904176985,0.14,0.027999999999999997,0.12399999999999999,0.252,0.6932941176470588,45.687876399606466,0.1,0.030525638083539704
OB,cpu,incident,0.1,qarca_quality_only,25,1.0,0.0,1.0,1.0,1.0,1.0,0.0,45.253637599758804,0.1,0.0
OB,cpu,incident,0.1,qarca_structural_only,25,0.1,0.0,0.0,0.0,0.0,0.0,0.7411764705882353,45.13324439828284,0.1,0.0
OB,cpu,incident,0.3,baro,25,0.1975102342102342,0.18590427553601402,0.14,0.055999999999999994,0.128,0.252,0.5615490196078432,59.73645520233549,0.3,0.0371808551072028
OB,cpu,incident,0.3,median_shift,25,0.3153896103896104,0.21259549061199495,0.3696,0.10400000000000001,0.41600000000000004,0.596,0.35786274509803917,11.86303679854609,0.3,0.04251909812239899
OB,cpu,incident,0.3,nsigma,25,0.13257047397047395,0.047363014571950246,0.0576,0.0,0.044000000000000004,0.156,0.6388823529411765,50.93062040139921,0.3,0.00947260291439005
OB,cpu,incident,0.3,qarca,25,0.998,0.010000000000000016,0.9992,0.996,1.0,1.0,0.0003333333333333332,47.44699959992431,0.3,0.002000000000000003
OB,cpu,incident,0.3,qarca_no_incident_train,25,0.5131825396825397,0.31778523427141364,0.5632,0.332,0.58,0.78,0.19480392156862744,47.114159599877894,0.3,0.06355704685428273
OB,cpu,incident,0.3,qarca_no_quality,25,0.5179095238095238,0.282325092798429,0.6232,0.3,0.716,0.836,0.1831176470588235,47.02545800246298,0.3,0.056465018559685796
OB,cpu,incident,0.3,qarca_no_quality_original,25,0.39854285714285714,0.27721210650235967,0.42160000000000003,0.21599999999999997,0.428,0.588,0.2971764705882353,47.0137740005739,0.3,0.05544242130047193
